"","maand","year","month","qu","cprice","tprice","incom","q1","q2","q3","q4","bprice","wprice","oprice"
"1",29,1990,1,0.55,12.12,18.6,1640.87,1,0,0,0,3.47,28.15,1
"2",22,1990,2,0.65,12.12,18.6,1538.6,1,0,0,0,3.4,28.15,1
"3",50,1990,3,0.66,12.12,18.6,1680.93,1,0,0,0,3.26,28.33,1
"4",1,1990,4,0.66,12.12,18.6,1656.2,0,1,0,0,3.46,28.49,1
"5",57,1990,5,0.64,12.12,18.6,1700.8,0,1,0,0,3.47,28.55,1
"6",43,1990,6,0.65,12.12,18.6,1732.67,0,1,0,0,3.68,28.55,1
"7",36,1990,7,0.62,12.12,18.6,1650.27,0,0,1,0,3.67,28.84,1
"8",8,1990,8,0.61,12.12,18.6,1677.8,0,0,1,0,3.63,28.84,1
"9",78,1990,9,0.63,12.12,18.6,1677.27,0,0,1,0,3.35,28.86,1
"10",71,1990,10,0.63,12.12,18.6,1723.53,0,0,0,1,3.42,28.86,1
"11",64,1990,11,0.7,12.12,18.6,1719.73,0,0,0,1,3.36,28.86,1
"12",15,1990,12,1.04,12.12,18.6,1807.73,0,0,0,1,3.32,28.86,1
"13",30,1991,1,0.74,12,18.6039603960396,1759.07920792079,1,0,0,0,3.24752475247525,29.1188118811881,1.01
"14",23,1991,2,0.67,12,18.4158415841584,1639.40594059406,1,0,0,0,3.23762376237624,29.1188118811881,1.01
"15",51,1991,3,0.66,11.8823529411765,18.2352941176471,1759.41176470588,1,0,0,0,3.15686274509804,28.9705882352941,1.02
"16",2,1991,4,0.72,11.8823529411765,18.2352941176471,1720.98039215686,0,1,0,0,3.46078431372549,29.2058823529412,1.02
"17",58,1991,5,0.66,11.8823529411765,18.2352941176471,1774.44117647059,0,1,0,0,3.41176470588235,29.2254901960784,1.02
"18",44,1991,6,0.67,11.8823529411765,18.0490196078431,1770.58823529412,0,1,0,0,3.66666666666667,29.2450980392157,1.02
"19",37,1991,7,0.61,11.7669902912621,17.873786407767,1741.16504854369,0,0,1,0,3.64077669902913,29.2427184466019,1.03
"20",9,1991,8,0.59,11.6538461538462,17.8846153846154,1715,0,0,1,0,3.48076923076923,28.9615384615385,1.04
"21",79,1991,9,0.66,11.5428571428571,17.7142857142857,1662.21904761905,0,0,1,0,3.34285714285714,28.7047619047619,1.05
"22",72,1991,10,0.65,11.5428571428571,17.7142857142857,1757.52380952381,0,0,0,1,3.27619047619048,28.7238095238095,1.05
"23",65,1991,11,0.71,11.5428571428571,17.7142857142857,1738.35238095238,0,0,0,1,3.2952380952381,28.7238095238095,1.05
"24",16,1991,12,0.77,11.5428571428571,17.7142857142857,1815.2380952381,0,0,0,1,3.12380952380952,28.7238095238095,1.05
"25",31,1992,1,0.59,11.5428571428571,17.7142857142857,1822.40952380952,1,0,0,0,3.02857142857143,29.2571428571429,1.05
"26",24,1992,2,0.71,11.4339622641509,17.8962264150943,1676.60377358491,1,0,0,0,2.97169811320755,28.9811320754717,1.06
"27",52,1992,3,0.74,11.4339622641509,17.8962264150943,1737.61320754717,1,0,0,0,2.9811320754717,29.1415094339623,1.06
"28",3,1992,4,0.81,11.4339622641509,18.0754716981132,1791.57547169811,0,1,0,0,3.00943396226415,29.4905660377358,1.06
"29",59,1992,5,0.64,11.4339622641509,18.0754716981132,1787.99056603774,0,1,0,0,2.90566037735849,29.4905660377358,1.06
"30",45,1992,6,0.68,11.5471698113208,18.0754716981132,1775.09433962264,0,1,0,0,2.92452830188679,29.4905660377358,1.06
"31",38,1992,7,0.63,11.3271028037383,17.7289719626168,1797.5046728972,0,0,1,0,2.66355140186916,29.4299065420561,1.07
"32",10,1992,8,0.68,11.2222222222222,17.3981481481481,1703.51851851852,0,0,1,0,2.42592592592593,29.1574074074074,1.08
"33",80,1992,9,0.69,11.1111111111111,17.5648148148148,1741.2962962963,0,0,1,0,2.28703703703704,29.2407407407407,1.08
"34",73,1992,10,0.7,11.2222222222222,17.5648148148148,1811.48148148148,0,0,0,1,2.28703703703704,29.2685185185185,1.08
"35",66,1992,11,0.78,11.3271028037383,17.5607476635514,1738.1308411215,0,0,0,1,2.2803738317757,29.5420560747664,1.07
"36",17,1992,12,0.81,11.4339622641509,17.7264150943396,1942.83018867925,0,0,0,1,2.45283018867925,29.8207547169811,1.06
"37",32,1993,1,0.74,11.214953271028,17.5607476635514,1757.5046728972,1,0,0,0,2.48598130841122,29.9626168224299,1.07
"38",25,1993,2,0.63,11.2222222222222,17.3981481481481,1659.50925925926,1,0,0,0,2.64814814814815,29.6851851851852,1.08
"39",53,1993,3,0.75,11.0091743119266,17.2385321100917,1790.39449541284,1,0,0,0,2.68807339449541,29.5229357798165,1.09
"40",4,1993,4,0.66,11.0091743119266,17.2385321100917,1821.89908256881,0,1,0,0,2.64220183486239,29.7798165137615,1.09
"41",60,1993,5,0.68,11.0091743119266,17.5779816513761,1789.29357798165,0,1,0,0,2.55963302752294,29.7798165137615,1.09
"42",46,1993,6,0.65,11.2222222222222,17.7407407407407,1848.02777777778,0,1,0,0,2.63888888888889,30.0833333333333,1.08
"43",39,1993,7,0.63,11.1192660550459,17.5779816513761,1848.00917431193,0,0,1,0,2.87155963302752,29.8899082568807,1.09
"44",11,1993,8,0.74,11.0181818181818,17.5818181818182,1735.20909090909,0,0,1,0,2.67272727272727,29.6181818181818,1.1
"45",81,1993,9,0.76,11.3513513513514,17.2612612612613,1764.32432432432,0,0,1,0,2.81981981981982,29.4324324324324,1.11
"46",74,1993,10,0.65,11.4684684684685,17.4234234234234,1785.28828828829,0,0,0,1,2.81981981981982,29.4324324324324,1.11
"47",67,1993,11,0.71,11.3513513513514,17.4234234234234,1756.57657657658,0,0,0,1,2.87387387387387,29.4324324324324,1.11
"48",18,1993,12,0.81,11.4545454545455,17.5818181818182,1889.75454545455,0,0,0,1,3.09090909090909,29.7,1.1
"49",33,1994,1,0.76,11.4545454545455,17.5818181818182,1805.02727272727,1,0,0,0,3.12727272727273,29.9272727272727,1.1
"50",26,1994,2,0.59,11.9009009009009,17.4234234234234,1708.64864864865,1,0,0,0,3.27927927927928,29.6576576576577,1.11
"51",54,1994,3,0.59,11.9017857142857,17.1071428571429,1854.88392857143,1,0,0,0,3.1875,29.3928571428571,1.12
"52",5,1994,4,0.77,11.9017857142857,17.2678571428571,1857.61607142857,0,1,0,0,3.19642857142857,29.3660714285714,1.12
"53",61,1994,5,0.67,11.9017857142857,17.1071428571429,1814.64285714286,0,1,0,0,3.3125,29.3660714285714,1.12
"54",47,1994,6,0.7,12.5535714285714,17.1071428571429,1883.09821428571,0,1,0,0,3.35714285714286,29.3660714285714,1.12
"55",40,1994,7,0.77,13.9553571428571,17.4375,1841.66964285714,0,0,1,0,3.95535714285714,29.4196428571429,1.12
"56",12,1994,8,0.63,16.0884955752212,17.4513274336283,1797.46017699115,0,0,1,0,4.80530973451327,29.1592920353982,1.13
"57",82,1994,9,0.61,16.3008849557522,17.4513274336283,1825.8407079646,0,0,1,0,4.90265486725664,29.1592920353982,1.13
"58",75,1994,10,0.74,17.219298245614,17.2982456140351,1800.06140350877,0,0,0,1,6.14035087719298,28.9298245614035,1.14
"59",68,1994,11,0.62,17.5929203539823,17.4513274336283,1815.69026548673,0,0,0,1,6.29203539823009,29.1858407079646,1.13
"60",19,1994,12,0.63,17.6991150442478,17.4513274336283,1928.67256637168,0,0,0,1,6.2212389380531,29.1858407079646,1.13
"61",34,1995,1,0.66,16.5132743362832,17.6106194690265,1805.01769911504,1,0,0,0,6.35398230088496,29.4424778761062,1.13
"62",27,1995,2,0.58,16.2631578947368,17.2982456140351,1708.18421052632,1,0,0,0,5.8859649122807,29.1842105263158,1.14
"63",55,1995,3,0.61,16.2631578947368,17.2982456140351,1891.05263157895,1,0,0,0,5.63157894736842,29.2017543859649,1.14
"64",6,1995,4,0.66,16.1578947368421,17.4561403508772,1843.09649122807,0,1,0,0,5.47368421052632,29.2543859649123,1.14
"65",62,1995,5,0.68,16.2631578947368,17.4561403508772,1847.54385964912,0,1,0,0,5.19298245614035,29.2543859649123,1.14
"66",48,1995,6,0.59,16.1578947368421,17.2982456140351,1931.4649122807,0,1,0,0,5.14035087719298,29.280701754386,1.14
"67",41,1995,7,0.64,16.2631578947368,17.4561403508772,1869.29824561404,0,0,1,0,5.20175438596491,29.280701754386,1.14
"68",13,1995,8,0.52,15.9473684210526,17.6228070175439,1849.41228070175,0,0,1,0,5.10526315789474,29.280701754386,1.14
"69",83,1995,9,0.81,15.495652173913,17.304347826087,1850.66956521739,0,0,1,0,5.09565217391304,29.0260869565217,1.15
"70",76,1995,10,0.75,14.8608695652174,17.4695652173913,1825.39130434783,0,0,0,1,5.01739130434783,29.0521739130435,1.15
"71",69,1995,11,0.71,14.5478260869565,17.304347826087,1842.32173913043,0,0,0,1,4.52173913043478,29.0521739130435,1.15
"72",20,1995,12,0.85,14.5478260869565,17.4695652173913,1938.95652173913,0,0,0,1,4.3304347826087,29.0521739130435,1.15
"73",35,1996,1,0.6,13.704347826087,17.304347826087,1867.82608695652,1,0,0,0,4.17391304347826,29.2782608695652,1.15
"74",28,1996,2,0.64,13.5862068965517,17.1551724137931,1795.80172413793,1,0,0,0,3.91379310344828,29.0258620689655,1.16
"75",56,1996,3,0.59,13.4700854700855,17.008547008547,1892.93162393162,1,0,0,0,3.78632478632479,28.7948717948718,1.17
"76",7,1996,4,0.74,13.3589743589744,16.6923076923077,1880.74358974359,0,1,0,0,3.85470085470085,29.017094017094,1.17
"77",63,1996,5,0.59,13.3589743589744,16.8547008547009,1911.62393162393,0,1,0,0,3.82051282051282,29.017094017094,1.17
"78",49,1996,6,0.67,13.5862068965517,17,1948.73275862069,0,1,0,0,4.18103448275862,29.2672413793103,1.16
"79",42,1996,7,0.64,13.3589743589744,16.6923076923077,1912.88034188034,0,0,1,0,4.07692307692308,29.1880341880342,1.17
"80",14,1996,8,0.59,13.4741379310345,16.8362068965517,1917.58620689655,0,0,1,0,4,29.4396551724138,1.16
"81",84,1996,9,0.74,13.3589743589744,16.6923076923077,1849.68376068376,0,0,1,0,3.97435897435897,29.1880341880342,1.17
"82",77,1996,10,0.74,13.2457627118644,16.3898305084746,1897.0593220339,0,0,0,1,3.88983050847458,28.9915254237288,1.18
"83",70,1996,11,0.72,13.0423728813559,17.0254237288136,1874.46610169492,0,0,0,1,3.78813559322034,28.9915254237288,1.18
"84",21,1996,12,0.83,12.8389830508475,17.1779661016949,1946.77966101695,0,0,0,1,3.73728813559322,28.9661016949153,1.18
